DatasetIdentifier,GroupId,FileDeliveryEnabled,Description
BULL_BEAR_BUZZ,BULLBEARBUZZ,Yes,This data set leverages J.P. Morgans Sales  Trading conversations J.P. Morgan side only to provide a proprietary lens on ten major global equity indices. DataQuery API group-id  BULLBEARBUZZ
CDS_INDEX_TRANCHES,CDSINDEXTRANCHES,Yes,"The dataset represents pricing data and analytics for standardized index tranches for US and European CDS Indices. The menu is constructed of 3 dimensions Index e.g. HY, Crossover, Main..., SeriesMaturity e.g. S25 5y 20-Dec-20, S30 5y 20-Dec-23, S5 5y 20-Jun-11..., Tranche e.g. 25-35, Super Senior, 6-12.... This dataset is produced by JP Morgan Credit  Research Team. DataQuery API group-id  CDSINDEXTRANCHES"
CDXOptions,CDXOptions,Yes,"This panel provides pricing data and analytics for CDS Index Options, specifically for CDX indices in North America. This dataset is produced by JP Morgan Credit Research Team. DataQuery API group-id  CDXOptions"
DATA_ASSETS_ALPHA_GROUP,DATAASSETSALPHAGROUP,Yes,J.P. Morgan provides sales and trading content from Data Assets and Alpha Group with intraday updates and full historical coverage. DataQuery API group-id  DATAASSETSALPHAGROUP
DJ_CDX_NA_IHG,DJCDXNAIHG,Yes,"The CDX Index  DJ CDX NA IG dataset provides pricing data and analytics for Markits Investment Grade CDX, focusing on On-The-Run and specific index series by sector.This dataset helps users analyze high yield credit default swaps, aiding in risk assessment and investment decisions. The menu is constructed of 2 dimensions Sector e.g. High Volatility, Main, Maturity e.g. Series 30 5Yr, Series 30 7Yr, Series 30 10Yr.... This dataset is produced by JP Morgan Credit Research Team. DataQuery API group-id  DJCDXNAIHG"
DJ_CDX_NA_IHY,DJCDXNAIHY,Yes,"The DJ CDX NA HY dataset provides pricing data and analytics for Markits High Yield CDX, focusing on On-The-Run and specific index series by sector. This dataset helps users analyze high yield credit default swaps, aiding in risk assessment and investment decisions. The menu is constructed of 2 dimensions Sector e.g. 100, B, BB..., Maturity e.g. Series 18 5Yr, Series 18 7Yr, Series 18 10Yr.... This dataset is produced by JP Morgan Credit Research Team. DataQuery API group-id  DJCDXNAIHY"
EM_CRV_SV,EMCRVSV,Yes,"The Emerging Market Swaption Volatility dataset provides volatility surfaces and other analytics for CZK, HDK, HUF, ILS, MXN, PLN, SAR, TRY, ZAR and others across various expiries and underlying swap tenors. The menu is constructed of 4 dimensions Currency e.g.  CZK 6M PRIBOR, HKD 3M HIBOR, HUF 6M BUBOR..., Expiration e.g. 1 Month, 3 Months, 6 Months..., Underlying e.g. 3 Months, 4 Months, 6 Months..., Side e.g. Payer, Receiver.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  EMCRVSV"
FISWP_CMS_FWD,FISWPCMSFWD,Yes,"The CMS Forwards dataset provides insights into the pricing and valuation of Constant Maturity Swap CMS forwards within the U.S. Fixed Income market. It includes information on both adjusted and unadjusted forwards, allowing users to analyze how these instruments are valued under different market conditions. The dataset is structured with dimensions such as index maturities and expiry periods, offering a comprehensive view of CMS forwards across various time frames. The menu is constructed of 2 dimensions Index e.g. 1y, 2y, 3y..., Expiry e.g. Spot, 1w, 2w.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FISWPCMSFWD"
FI_MM_GC_EA,FIMMGCEA,Yes,"The Government GC Repo- Euro Area dataset provides data on the General Collateral GC repurchase agreement market for government securities across the issuers in the Euro Area. The dataset includes mid rate and spread characteristics. The menu is constructed of 2 dimensions Issuer e.g. Austria, Belgium, Netherlands..., Term e.g. Tn, 1 Week, 2 Weeks.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FIMMGCEA"
FI_MM_GC_EM,FIMMGCEM,Yes,"The Government GC Repo  - Emerging Markets dataset provides data on the General Collateral GC repurchase agreement market for government securities in EM countries. The dataset includes mid rate and spread characteristics. The menu is constructed of 2 dimensions Issuer e.g. Czech Republic, Hungary, Israel..., Term e.g. Tn, 1 Week, 2 Weeks.... This dataset is produced by JP Morgan Emerging Markets Research Team. DataQuery API group-id  FIMMGCEM"
FI_MM_GC_JP,FIMMGCJP,Yes,"The Government GC Repo- Japan dataset provides spot rate data on the General Collateral GC repurchase agreement market for government securities in Japan, across a range of subsectors. The menu is constructed of 1 dimensions Subsector e.g. 1d, 1m, 2m.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FIMMGCJP"
FI_MM_GC_OE,FIMMGCOE,Yes,"The Government GC Repo- United Kingdom dataset provides data on the General Collateral GC repurchase agreement market for government securities in the UK. The dataset includes mid rate and spread characteristics. The menu is constructed of 2 dimensions Issuer e.g. Great Britain, Term e.g. ON, Sn, 1 Week.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FIMMGCOE"
FI_MM_TSY_GENERAL_COLLATERAL_REPO,FIMMTSYGENERALCOLLATERALREPO,Yes,"The North America General Collateral Repo money market dataset provides data on benchmark general collateral Treasury repo rates. The dataset includes money market repo rates with terms out to twelve months. The menu is constructed of 1 dimensions Term e.g. Overnight, 1 Week, 2 Weeks.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FIMMTSYGENERALCOLLATERALREPO"
FI_OPT_CMSCAP,FIOPTCMSCAP,Yes,"The North America Swaption Caps  Floors dataset provides volatility and analytics for reference swap rates including SOFR and LIBOR, utilizing risk-free rates RFR as a foundational benchmark. It includes side, term, strike, delta, and gamma. The menu is constructed of 3 dimensions Index e.g. Libor 1 Month, Libor 3 Months, Libor 6 Months..., Side e.g. Cap, Floor, Start e.g. 3 Month, 6 Month, 9 Month.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FIOPTCMSCAP"
FI_OPT_FORW_MIDCUR_VOL,FIOPTFORWMIDCURVOL,Yes,"The Swaption Forward Volatility North America dataset includes volatility, premium, vega, and correlation analytics based on forward start, expiration, underlying, and correlation, utilizing risk-free rates RFR as a foundational benchmark. The menu is constructed of 3 dimensions Forward Start e.g. 1 Month, 3 Months, 6 Months..., Index e.g. Libor, SOFR, Expiration e.g. 1 Month, 3 Months, 6 Months.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FIOPTFORWMIDCURVOL"
FI_OPT_SWAP_MID_CRV_OPT,FIOPTSWAPMIDCRVOPT,Yes,"The North American Swaption Mid Curve dataset provides Mid Curve USD options analytics including rate, expiry, side, strike, delta, gamma, and forward rate, utilizing risk-free rates RFR as a foundational benchmark. The menu is constructed of 3 dimensions Rate e.g. 1yr x 1yr, 1yr x 2yr, 1yr x 5yr..., Expiry e.g. 1 Month, 3 Months, 6 Months..., Side e.g. Payer, Receiver, Straddle.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FIOPTSWAPMIDCRVOPT"
FI_OPT_SWAP_OPT,FIOPTSWAPOPT,Yes,"The North America Swaption Volatility dataset provides USD analytics including for SOFR and LIBOR expiries, underlyings, side, strike, and attributes including implied vol, gamma, and vega, utilizing risk-free rates RFR as a foundational benchmark. The menu is constructed of 3 dimensions Expiration e.g. 1 Week, 2 Week, 3 Week..., Underlying e.g. 1 Month, 3 Month, 6 Month..., Side e.g. Payer, Receiver. This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FIOPTSWAPOPT"
FI_OPT_YLD_CRV_SPRD,FIOPTYLDCRVSPRD,Yes,"The North America Swaption Yield Curve Spread Options dataset provides rates, volatility, and attribute analytics for USD Swaptions, utilizing risk-free rates RFR as a foundational benchmark. The menu is constructed of 3 dimensions Rate e.g. 2yr x 5yr, 2yr x 10yr, 3yr x 10yr..., Expiry e.g. 1 Month, 3 Months, 6 Months..., Side e.g. Put, Call, Straddle.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FIOPTYLDCRVSPRD"
FI_SW_SV_AA,FISWSVAA,Yes,"The APAC Swaption Volatility dataset provides volatility surfaces, Greeks, and other analytics for AUD, HKD, KRW, JPY across various expiries and underlyings, utilizing risk-free rates RFR as a foundational benchmark. The menu is constructed of 3 dimensions Currency e.g. Australian Dollar, Japanese Yen Libor, Japanese Yen TONAR..., Expiration e.g. 1 Day, 1 Month, 3 Months..., Underlying e.g. 1 Day, 1 Week, 2 Weeks.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FISWSVAA"
FI_SW_SV_CE,FISWSVCE,Yes,"The Africa and Middle East Swaption Volatility dataset provides volatility surfaces, Greeks, and other analytics for USD across various expiries and underlyings. The menu is constructed of 3 dimensions Currency e.g. Israeli New Shekel, South African Rand, Expiration e.g. 1 Day, 1 Month, 3 Months..., Underlying e.g. 1 Day, 1 Week, 2 Weeks.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FISWSVCE"
FI_SW_SV_EA,FISWSVEA,Yes,"The Euro Swaption Volatility dataset provides volatility surfaces, Greeks, and other analytics for EUR across various expiries and underlyings, utilizing risk-free rates RFR as a foundational benchmark. The menu is constructed of 3 dimensions Currency e.g. Euro, Sterling vs. SONIA, Sterling Libor..., Expiration e.g. 1 Day, 1 Month, 3 Months..., Underlying e.g. 1 Day, 1 Week, 2 Weeks.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FISWSVEA"
FI_SW_SV_OA,FISWSVOA,Yes,"The Americas Swaption Volatility dataset provides volatility surfaces, Greeks, and other analytics for AUD, HKD, KRW, JPY across various expiries and underlyings, utilizing risk-free rates RFR as a foundational benchmark. The menu is constructed of 3 dimensions Currency e.g. US  Libor, US  SOFR, Expiration e.g. 1 Day, 3 Months, 6 Months..., Underlying e.g. 1 Day, 1 Week, 2 Weeks.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FISWSVOA"
FI_TERM_PREMIUM,FITERMPREMIUM,Yes,"The Macro Specialized Term Premiums provides fixed income term premiums for government bonds, swaps, and OIS across granular terms up to 10 years for various currencies. The menu is constructed of 3 dimensions Asset e.g. OIS, Swaps, Government..., Currency e.g. USD, EUR, GBP..., Term e.g. 1m, 2m, 3m.... This dataset is produced by JP Morgan Rates Research Team. DataQuery API group-id  FITERMPREMIUM"
FXO_FP,FXOFP,Yes,"The FX Options Forward Points dataset provides the necessary forward points data to calculate forward rates for various currency pairs. The menu is constructed of 2 dimensions BaseTerm e.g. AUDUSD, EURUSD, GBPUSD..., Period e.g. ON, TN, SN.... This dataset is produced by JP Morgan FX Research Team. DataQuery API group-id  FXOFP"
FXO_IVOL_INTRADAY,FXOIVOLINTRADAY,Yes,"The FX Option Implied Volatility dataset provides 8 intraday snapshots of FX vol surfaces on over 100 G10 and EM currency pairs, produced by the JPMorgan FX Options trading desk. DataQuery API group-id  FXOIVOLINTRADAY"
FXO_SP,FXOSP,Yes,"The FX Options Spot Rates dataset provides spot rates for various currency pairs from J.P. Morgan source. The menu is constructed of 1 dimensions BaseTerm e.g. AUDUSD, EURUSD, GBPUSD.... This dataset is produced by JP Morgan FX Research Team. DataQuery API group-id  FXOSP"
FXO_V1,FXOV1,Yes,"FX Options Actual Volatility dataset serves to understand and analyze the actual volatility experienced in FX options markets over a period of time. The menu is constructed of 2 dimensions BaseTerm e.g. AUDCAD, AUDCHF, AUDJPY..., Period e.g. 7 Day, 1 Month, 2 Month.... This dataset is produced by JP Morgan FX Research Team. DataQuery API group-id  FXOV1"
FX_CASH_INTRADAY,FXCASHINTRADAY,Yes,"The FX Cash Intraday dataset provides FX spot and forward cash rates on select currencies and liquid tenors, produced by the JPMorgan FX desk. DataQuery API group-id  FXCASHINTRADAY"
FX_ECN_VOLUMES,FXECNVOLUMES,Yes,"The dataset monitors FX Spot, NDFs, and Precious Metals, focusing on volume, volatility, and spread. It compares predicted or historical data with actual figures from various venues, providing live market insights. Users can analyze market conditions by currency pair or group in 15-minute and daily intervals, including current days data. The menu is constructed of 2 dimensions CCY PairGroup e.g. ASIA, CEMEA, COMMODITY..., Venues e.g. Primary, Total, Composite.... This dataset is produced by JP Morgan FX Research Team. DataQuery API group-id  FXECNVOLUMES"
FX_SPOT_FWRD_AA,FXSPOTFWRDAA,Yes,"FX Spot  Forward Rates provides Spot and Forward currency rates for various countries. It reflects both onshore and offshore currency rates, deliverable and non-deliverables currency contracts too for varied currencies. The menu is constructed of 2 dimensions Currency e.g. Australian , Chinese Yuan non-deliverable, Chinese Yuan offshore deliverable..., Forward Life e.g. Spot, 1 Month, 3 Months.... This dataset is produced by JP Morgan FX Research Team. DataQuery API group-id  FXSPOTFWRDAA"
FX_SPOT_FWRD_EA,FXSPOTFWRDEA,Yes,"FX Spot  Forward Rates provides spot and forward currency rates for various countries in Europe. The menu is constructed of 2 dimensions Currency e.g. Croatian Kuna, Czech Koruna, Danish Krone..., Forward Life e.g. Spot, 1 Month, 3 Months.... This dataset is produced by JP Morgan FX Research Team. DataQuery API group-id  FXSPOTFWRDEA"
